A;MS;ACCIM;ACCIT;INCIP;ENFERO;TNS
2020;ENERO;0;1;0;0;1
2020;ENERO;0;13;1;0;14
2020;ENERO;0;8;0;0;8
2020;ENERO;0;162;9;0;171
2020;ENERO;0;0;0;0;0
2020;ENERO;0;15;1;0;16
2020;ENERO;0;183;0;0;183
2020;ENERO;1;18;0;0;19
2020;ENERO;0;4;1;0;5
2020;ENERO;0;0;0;0;0
2020;ENERO;0;5;0;0;5
2020;ENERO;3;6;0;0;9
2020;ENERO;0;60;1;0;61
2020;ENERO;1;1;0;0;2
2020;ENERO;11;2,111;35;0;2157
2020;ENERO;0;14;0;0;14
2020;ENERO;0;5;1;0;6
2020;ENERO;1;0;0;0;1
2020;ENERO;0;14;4;0;18
2020;ENERO;0;4;0;0;4
2020;ENERO;0;186;0;0;186
2020;ENERO;0;1;0;0;1
2020;ENERO;0;1;0;0;1
2020;ENERO;0;1;0;0;1
2020;ENERO;0;4;0;0;4
2020;ENERO;0;10;0;0;10
2020;FEBRERO;0;0;0;0;0
2020;FEBRERO;0;60;2;0;62
2020;FEBRERO;0;8;0;0;8
2020;FEBRERO;1;145;6;0;152
2020;FEBRERO;1;1;0;0;2
2020;FEBRERO;0;12;0;0;12
2020;FEBRERO;0;369;3;0;372
2020;FEBRERO;0;8;0;0;8
2020;FEBRERO;0;6;0;0;6
2020;FEBRERO;0;2;1;0;3
2020;FEBRERO;0;0;3;0;3
2020;FEBRERO;0;9;2;0;11
2020;FEBRERO;6;17;1;0;24
2020;FEBRERO;0;6;0;0;6
2020;FEBRERO;7;2,356;31;5;2399
2020;FEBRERO;0;17;1;2;20
2020;FEBRERO;0;30;2;0;32
2020;FEBRERO;0;0;0;0;0
2020;FEBRERO;1;3;1;0;5
2020;FEBRERO;0;7;0;0;7
2020;FEBRERO;1;156;3;0;160
2020;FEBRERO;0;1;1;0;2
2020;FEBRERO;1;2;0;0;3
2020;FEBRERO;0;8;1;0;9
